candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,primary_pctg,won_primary,rep_party_support,trump_endorsed,bannon_endorsed,great_america_endorsed,nra_endorsed,right_to_life_endorsed,susan_b_anthony_endorsed,club_for_growth_endorsed,koch_support,house_freedom_support,tea_party_endorsed,main_street_endorsed,chamber_endorsed,no_labels_support,count_negative,count_neutral,count_positive,sentiment
Casey Welch,CaseyBWelch,,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Lost,None,None,21.4,No,No,,,,,,,,No,,,,,,6,7,15,2.642857142857143
Danny Morales,dannydjmorales,,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Lost,None,None,15.9,No,No,,,,,,,,No,,,,,,453,389,815,2.4369342184671092
Brandon Martin,PathForFreedom,,AZ,U.S. House Arizona District 2,Representative,Regular,8/28/18,Lost,None,None,29.1,No,No,,,,,,,,No,,,,,,19,25,83,3.0078740157480315
Edna San Miguel,EdnaSanMiguel2,,AZ,U.S. House Arizona District 3,Representative,Regular,8/28/18,Lost,None,None,21.4,No,,,,,,,,,,,,,,,6,6,13,2.56
Sergio Arellano,sergio5941,,AZ,U.S. House Arizona District 3,Representative,Regular,8/28/18,Lost,None,None,27.3,No,,,,,,,,,,,,,,,77,55,185,2.6813880126182967
Nicolas Pierson,PiersonCongress,,AZ,U.S. House Arizona District 3,Representative,Regular,8/28/18,Advanced,None,On the Ballot,51.4,Yes,,,,,,,,,,,,,,,0,0,0,
Debbie Lesko,DebbieLesko,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Advanced,None,On the Ballot,35.77,Yes,,,,,,,Yes,,Yes,Yes,,,,,53,59,429,3.3900184842883547
Debbie Lesko,RepDLesko,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Advanced,None,On the Ballot,35.77,Yes,,,,,,,Yes,,Yes,Yes,,,,,42,55,270,3.242506811989101
Bob Stump,BobStumpAZ,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,5.37,No,,,,,,,No,,No,No,,,,,31,25,86,2.7746478873239435
Bob Stump,BobStump,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,5.37,No,,,,,,,No,,No,No,,,,,0,0,0,
Clair Van Steenwyk,ClairVanSteenwy,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,2.37,No,,,,,,,No,,No,No,,,,,0,0,0,
Phil Lovas,PhilLovas,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,23.88,No,,,,,,,No,,No,No,,,,,6,3,75,3.642857142857143
Richard Mack,SheriffMack,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,1.42,No,,,,,,,No,,No,No,,,,,0,0,0,
Stephen Dolgos,stephendolgos,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,0.48,No,,,,,,,No,,No,No,,,,,3,5,17,3.12
Steve Montenegro,SteveMontenegro,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,23.82,No,,,,,,,No,,No,No,,,,,7,9,43,3.2203389830508473
Christopher Sylvester,,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,1.92,No,,,,,,,No,,No,No,,,,,,,,
David Lien,,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,1.77,No,,,,,,,No,,No,No,,,,,,,,
Chad Allen,AllenForArizona,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,1.05,No,,,,,,,No,,No,No,,,,,0,0,0,
Brenden Dilley,,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,1.03,No,,,,,,,No,,No,No,,,,,,,,
Mark Yates,dry8s,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,1.12,No,,,,,,,No,,No,No,,,,,19,13,36,2.5
Dave Giles,VoteGiles,,AZ,U.S. House Arizona District 9,Representative,Regular,8/28/18,Lost,None,None,33.3,No,No,,,,,,,,,,,,,,31,30,149,3.123809523809524
Steve Ferrara,steveferraramd,,AZ,U.S. House Arizona District 9,Representative,Regular,8/28/18,Advanced,None,On the Ballot,58.9,Yes,Yes,,,,,,,,,,,,,,27,14,288,3.5866261398176293
Irina Baroness Von Behr,von_behr,,AZ,U.S. House Arizona District 9,Representative,Regular,8/28/18,Lost,None,None,7.8,No,No,,,,,,,,,,,,,,17,17,41,2.64
Joe Arpaio,RealSheriffJoe,,AZ,U.S. Senate Arizona,Senator,Regular,8/28/18,Lost,None,None,18.9,No,,,No,No,,,,,No,,,,,,70,108,231,2.7872860635696823
Kelli Ward,kelliwardaz,,AZ,U.S. Senate Arizona,Senator,Regular,8/28/18,Lost,None,None,28.1,No,,,Yes,Yes,,,,,No,,,,,,136,171,487,2.884130982367758
Martha McSally,MarthaMcSally,,AZ,U.S. Senate Arizona,Senator,Regular,8/28/18,Advanced,None,On the Ballot,53,Yes,,,No,No,,,,,Yes,,,,,,97,94,380,2.991243432574431
John Cox,TheRealJohnHCox,,CA,Governor of California,Governor,Regular,6/5/18,Advanced,None,On the Ballot,70.15,Yes,,Yes,,,,Yes,,,,,,,,,200,148,414,2.561679790026247
Peter Yuan Liu,PeterLiuCAGov18,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,1.08,No,,No,,,,No,,,,,,,,,18,11,24,2.2264150943396226
Robert Newman,michaelp594,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,1.77,No,,No,,,,No,,,,,,,,,0,0,0,
Travis Allen,JoinTravisAllen,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,26.15,No,,No,,,,No,,,,,,,,,97,64,84,1.8938775510204082
Yvonne Girard,,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,0.85,No,,No,,,,No,,,,,,,,,,,,
John Fitzgerald,JFitz4Congress,,CA,U.S. House California District 11,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,59,48,47,1.844155844155844
Lisa Remmer,1776NotInVain,,CA,U.S. House California District 12,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,41,31,63,2.325925925925926
Cristina Osmena,CristinaOsmena,,CA,U.S. House California District 14,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,27,16,70,2.7610619469026547
Rudy Peters,PetersCongress,,CA,U.S. House California District 15,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,182,91,145,1.8229665071770336
Elizabeth Heng,ElizabethHeng,,CA,U.S. House California District 16,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,Yes,,,,,,,,,,,,,,55,36,168,2.8725868725868726
Ron Cohen,,,CA,U.S. House California District 17,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,,,,
Christine Russell,,,CA,U.S. House California District 18,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,,,,
Dale Mensing,MensingDale,,CA,U.S. House California District 2,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,3,3,2,1.75
Justin Fareed,JustinFareed,,CA,U.S. House California District 24,Representative,Regular,6/5/18,Advanced,None,On the Ballot,78.37,Yes,Yes,,,,Yes,,,,,,,,,,209,174,339,2.3601108033241
Michael Erin Woody,MichaelWoodyCA,,CA,U.S. House California District 24,Representative,Regular,6/5/18,Lost,None,None,21.63,No,No,,,,No,,,,,,,,,,24,5,45,2.5675675675675675
Antonio Sabato Jr.,AntonioSabatoJr,,CA,U.S. House California District 26,Representative,Regular,6/5/18,Advanced,None,On the Ballot,53.04,Yes,,,,,,,,,,,,,,,265,267,1169,3.062904174015285
Jeffrey Burum,JeffreyBurum,,CA,U.S. House California District 26,Representative,Regular,6/5/18,Lost,None,None,46.96,No,,,,,,,,,,,Yes,,,,227,490,478,2.420083682008368
Johnny Nalbandian,Johnny_Congress,,CA,U.S. House California District 28,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,157,204,654,2.9793103448275864
Benito Bernal,Benny4Congress,,CA,U.S. House California District 29,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,0,0,0,
Charlie Schaupp,CharlieSchaupp,,CA,U.S. House California District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,Yes,,,,,,,,,10,5,20,2.5714285714285716
Mark Reed,MarkReed1776,,CA,U.S. House California District 30,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,59,56,113,2.473684210526316
Sean Flynn,SeanFlynnCA,,CA,U.S. House California District 31,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,Yes,,,,,,,,,,,,,,38,34,202,3.197080291970803
Kenneth Wright,drwright4congr1,,CA,U.S. House California District 33,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,0,0,0,
Ron Bassilian,Ron4California,,CA,U.S. House California District 34,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,1902,1796,2013,2.0388723516021714
Christian Valiente,CLVALIENTE4,,CA,U.S. House California District 35,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,15,18,85,3.1864406779661016
Kimberlin Brown Pelzer,KimberlinBrown,,CA,U.S. House California District 36,Representative,Regular,6/5/18,Advanced,None,On the Ballot,51.61,Yes,Yes,,,,,,Yes,,,,,,,,46,23,274,3.3294460641399417
Stephan Wolkowicz,,,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,None,None,10.41,No,No,,,,,,No,,,,,,,,,,,
Dan Ball,DanNewsManBall,,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,None,None,17.39,No,No,,,,,,No,,,,,,,,32,34,175,3.1867219917012446
Doug Hassett,1doughassett,,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,None,None,11.21,No,No,,,,,,No,,,,,,,,49,37,192,3.028776978417266
Robert Bentley,,,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,None,None,9.38,No,No,,,,,,No,,,,,,,,,,,
Ryan Downing,RyanDowning2018,,CA,U.S. House California District 38,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,11,16,47,2.972972972972973
Young Kim,YoungKimCD39,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Advanced,None,On the Ballot,39.79,Yes,Yes,,,,,,Yes,,,,Yes,Yes,,,15,14,163,3.5416666666666665
Bob Huff,bobhuff99,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,11.53,No,No,,,,,,No,,,,No,No,,,10,3,19,2.5625
John Cullum,Cullum4Congress,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.24,No,No,,,,,,No,,,,No,No,,,0,0,4,4.0
Phil Liberatore,Phil_Liberatore,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,21.22,No,No,,,,,,No,,,,No,No,,,26,11,70,2.822429906542056
Shawn Nelson,NelsonforOC,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,12.45,No,Yes,,,,,,No,,,,No,No,,,4,11,60,3.493333333333333
Andrew Sarega,AndrewSarega,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,1.05,No,No,,,,,,No,,,,No,No,,,52,16,29,1.5257731958762886
Steve Vargas,VoteVargas,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,5.29,No,No,,,,,,No,,,,No,No,,,1,2,11,3.4285714285714284
Aja Smith,AjaforCongress,,CA,U.S. House California District 41,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,248,166,583,2.6720160481444335
Omar Navarro,RealOmarNavarro,,CA,U.S. House California District 43,Representative,Regular,6/5/18,Advanced,None,On the Ballot,56.02,Yes,,,,,,,,,,,,,,,295,313,595,2.4987531172069826
Frank DeMartini,frankdemartini,,CA,U.S. House California District 43,Representative,Regular,6/5/18,Lost,None,None,27.54,No,,,,,,,,,,,,,,,202,199,478,2.627986348122867
Edwin Duterte,DuterteCA,,CA,U.S. House California District 43,Representative,Regular,6/5/18,Lost,None,None,16.44,No,,,,,,,,,,,,,,,323,269,581,2.4398976982097187
Jazmina Saavedra,jazminasaavedra,,CA,U.S. House California District 44,Representative,Regular,6/5/18,Lost,None,None,58.53,No,,,,,,,,,,,,,,,144,142,431,2.800557880055788
Stacey Dash,staceydash,,CA,U.S. House California District 44,Representative,Regular,6/5/18,Lost,None,None,41.47,No,,,,,,,,,,,,,,,569,597,1122,2.4833916083916083
Russell Lambert,,,CA,U.S. House California District 46,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,,,,
John Briscoe,johnfbriscoe,,CA,U.S. House California District 47,Representative,Regular,6/5/18,Advanced,None,On the Ballot,54.48,Yes,,,,,,,,,,,,,,,0,0,0,
David Clifford,,,CA,U.S. House California District 47,Representative,Regular,6/5/18,Lost,None,None,45.52,No,,,,,,,,,,,,,,,,,,
Diane Harkey,diane_harkey,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Advanced,None,On the Ballot,52.93,Yes,Yes,,,,,,,,,,Yes,,,,16,12,36,2.625
Kristin Gaspar,KristinDGaspar,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,18.34,No,Yes,,,,,,,,,,No,,,,26,14,142,3.2747252747252746
Rocky ChÃÃvez,RockyChavez4CA,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,15.66,No,Yes,,,,,,,,,,No,,,,0,0,0,
Joshua Schoonover,JSSchoonover,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,1.55,No,No,,,,,,,,,,No,,,,0,0,0,
Brian Maryott,brianlmaryott,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,6.26,No,No,,,,,,,,,,No,,,,20,15,30,2.3076923076923075
Craig Nordal,nordal4congress,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,1.31,No,No,,,,,,,,,,No,,,,5,2,28,3.3142857142857145
David Medway,drdavidmedway,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,1.22,No,No,,,,,,,,,,No,,,,5,4,17,2.923076923076923
Mike Schmitt,DrMikeSchmitt,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,2.72,No,No,,,,,,,,,,No,,,,33,34,61,2.4375
Juan Hidalgo,HidalgoFor51st,,CA,U.S. House California District 51,Representative,Regular,6/5/18,Advanced,None,On the Ballot,49.39,Yes,,,,,,,,,,,,,,,0,0,0,
Louis Fuentes,,,CA,U.S. House California District 51,Representative,Regular,6/5/18,Lost,None,None,53.9,No,,,,,,,,,,,,,,,,,,
John Renison Jr.,,,CA,U.S. House California District 51,Representative,Regular,6/5/18,Lost,None,None,45.22,No,,,,,,,,,,,,,,,,,,
Omar Qudrat,omarqudrat1,,CA,U.S. House California District 52,Representative,Regular,6/5/18,Advanced,None,On the Ballot,37.28,Yes,No,,,,,,,,,,,,,,67,33,72,2.058139534883721
James Veltmeyer,veltmeyer53rd,,CA,U.S. House California District 52,Representative,Regular,6/5/18,Lost,None,None,27.81,No,No,,,,,,,,,,,,,,0,0,0,
John Horst,,,CA,U.S. House California District 52,Representative,Regular,6/5/18,Lost,None,None,8.25,No,No,,,,,,,,,,,,,,,,,
Danny Casara,,,CA,U.S. House California District 52,Representative,Regular,6/5/18,Lost,None,None,11.2,No,No,,,,,,,,,,,,,,,,,
Michael Allman,realMikeAllman,,CA,U.S. House California District 52,Representative,Regular,6/5/18,Lost,None,None,9.57,No,Yes,,,,,,,,,,,,,,49,68,445,3.409252669039146
Jeff Cullen,,,CA,U.S. House California District 52,Representative,Regular,6/5/18,Lost,None,None,5.88,No,No,,,,,,,,,,,,,,,,,
Morgan Murtaugh,morganmurtaugh,,CA,U.S. House California District 53,Representative,Regular,6/5/18,Advanced,None,On the Ballot,42.73,Yes,,,,,,,,,,,,,,,99,96,392,2.9982964224872233
Matt Mendoza,,,CA,U.S. House California District 53,Representative,Regular,6/5/18,Lost,None,None,40.43,No,,,,,,,,,,,,,,,,,,
Brett Goda,,,CA,U.S. House California District 53,Representative,Regular,6/5/18,Lost,None,None,5.93,No,,,,,,,,,,,,,,,,,,
Shawn Gino Kane,,,CA,U.S. House California District 53,Representative,Regular,6/5/18,Lost,None,None,10.91,No,,,,,,,,,,,,,,,,,,
Andrew Grant,AndrewFGrant,,CA,U.S. House California District 7,Representative,Regular,6/5/18,Advanced,None,On the Ballot,69.15,Yes,Yes,,,,,,,,,,,,Yes,,141,88,291,2.576923076923077
Yona Barash,DrYonaBarash,,CA,U.S. House California District 7,Representative,Regular,6/5/18,Lost,None,None,30.85,No,No,,,,,,,,,,,,No,,26,15,42,2.3855421686746987
Marla Livengood,marlalivengood,,CA,U.S. House California District 9,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100,Yes,,,,,,Yes,,,,,,,,,7,9,94,3.581818181818182
Jerry Laws,,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,3.04,No,,,,,,No,,,,,,,,,,,,
Kevin Mottus,Kevin_Mottus,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,3.94,No,,,,,,No,,,,,,,,,63,36,50,1.825503355704698
Roque De La Fuente,JoinRocky,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,6.11,No,,,,,,No,,,,,,,,,0,0,0,
Tom Palzer,tom_palzer,TomPazer,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,9.26,No,,,,,,No,,,,,,,,,0,0,0,
Patrick Little,,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,4.06,No,,,,,,No,,,,,,,,,,,,
Erin Cruz,RealErinCruz,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,12.06,No,,,,,,No,,,,,,,,,2131,1908,5213,2.666234327712927
Mario Nabliba,ForSenate1,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,1.77,No,,,,,,No,,,,,,,,,1,3,9,3.230769230769231
Paul Taylor,,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,14.59,No,,,,,,Yes,,,,,,,,,,,,
Arun Bhumitra,IAmArunBhumitra,ArunKBhumitra,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,15.82,No,,,,,,No,,,,,,,,,0,1,0,2.0
James Bradley,JamesBradleyMBA,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,25.08,No,,,,,,No,,,,,,,,,249,228,452,2.43702906350915
John Crew,,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,4.24,No,,,,,,No,,,,,,,,,,,,
Walker Stapleton,WalkerStapleton,,CO,Governor of Colorado,Governor,Regular,6/26/18,Advanced,None,On the Ballot,47.67,Yes,,,,,,,,,,,,,,,38,44,189,3.114391143911439
Greg Lopez,Lopez4Governor,,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,13.2,No,,,,,,,,,,,,,,,11,32,212,3.5764705882352943
Victor Mitchell,_VictorMitchell,,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,30.12,No,,,,,,,,,,,,,,,58,57,102,2.4055299539170507
Doug Robinson,DougRobinsonCO,,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,9.01,No,,,,,,,,,,,,,,,28,18,53,2.505050505050505
Casper Stockham,Casper4Colorado,,CO,U.S. House Colorado District 1,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,62,52,321,3.1908045977011494
Peter Yu,PeterYuCO,,CO,U.S. House Colorado District 2,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,2,3,41,3.6956521739130435
Mark Barrington,,,CO,U.S. House Colorado District 7,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,,,,
Bob Stefanowski,bobforgovernor,,CT,Governor of Connecticut,Governor,Regular,8/14/18,Advanced,None,On the Ballot,29.3,Yes,,,,,,,,,,,,,,,266,241,626,2.6354810238305384
Mark Boughton,MayorMark,,CT,Governor of Connecticut,Governor,Regular,8/14/18,Lost,None,None,21.2,No,,,,,,,,,,,,,,,312,210,637,2.560828300258844
Steve Obsitnik,SteveObsitnik,,CT,Governor of Connecticut,Governor,Regular,8/14/18,Lost,None,None,13.5,No,,,,,,,,,,,,,,,70,51,237,2.9329608938547485
Tim Herbst,timherbst,,CT,Governor of Connecticut,Governor,Regular,8/14/18,Lost,None,None,17.6,No,,,,,,,,,,,,,,,75,40,296,3.0754257907542577
David Stemerman,DavidStemerman,,CT,Governor of Connecticut,Governor,Regular,8/14/18,Lost,None,None,18.4,No,,,,,,,,,,,,,,,127,109,526,3.047244094488189
Jennifer Nye,JenniferNye211,,CT,U.S. House Connecticut District 1,Representative,Regular,8/14/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,0,0,0,
Dan Postemski,,,CT,U.S. House Connecticut District 2,Representative,Regular,8/14/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,,,,
Angel Cadena,hiro4you2,,CT,U.S. House Connecticut District 3,Representative,Regular,8/14/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,0,0,0,
Harry Arora,HarryForCT,,CT,U.S. House Connecticut District 4,Representative,Regular,8/14/18,Advanced,None,On the Ballot,100,Yes,,,,,,,,,,,,,,,101,95,229,2.6023529411764708
Manny Santos,MannySantos123,,CT,U.S. House Connecticut District 5,Representative,Regular,8/14/18,Advanced,None,On the Ballot,51.7,Yes,,,,,,,,,,,,,,,67,45,91,2.2364532019704435
Ruby Corby O'Neill,rubycorbyoneill,,CT,U.S. House Connecticut District 5,Representative,Regular,8/14/18,Lost,None,None,26.7,No,,,,,,,,,,,,,,,2,3,56,3.7704918032786887
Rich DuPont,DuPont4Congress,,CT,U.S. House Connecticut District 5,Representative,Regular,8/14/18,Lost,None,None,21.7,No,,,,,,,,,,,,,,,10,5,80,3.473684210526316
Matthew Corey,MattCoreyCT,,CT,U.S. Senate Connecticut,Senator,Regular,8/14/18,Advanced,None,On the Ballot,76.7,Yes,,,,,,,,,,,,,,,32,32,259,3.4055727554179565
Dominic Rapini,MacDommer,,CT,U.S. Senate Connecticut,Senator,Regular,8/14/18,Lost,None,None,23.3,No,,,,,,,,,,,,,,,163,282,839,3.0529595015576323
Lee Murphy,goMurph2020,,DE,U.S. House Delaware At-large District,Representative,Regular,9/6/18,Lost,None,None,47,No,,,,,,,,,,,,,,,0,0,0,
Scott Walker,,,DE,U.S. House Delaware At-large District,Representative,Regular,9/6/18,Advanced,None,On the Ballot,53,Yes,,,,,,,,,,,,,,,,,,
Gene Truono,,,DE,U.S. Senate Delaware,Senator,Regular,9/6/18,Lost,None,None,28,No,,,,,,,,,,,,,,,,,,
Robert Arlett,RobArlett,,DE,U.S. Senate Delaware,Senator,Regular,9/6/18,Advanced,None,On the Ballot,66.8,Yes,,,,,,,,,,,,,,,53,54,146,2.7351778656126484
Roque De La Fuente,JoinRocky,,DE,U.S. Senate Delaware,Senator,Regular,9/6/18,Lost,None,None,5.3,No,,,,,,,,,,,,,,,0,0,0,
Bruce Nathan,brucenathan2018,,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,None,None,0.9,No,,,,,,No,,,No,,,,No,,32,40,84,2.6666666666666665
Ron DeSantis,RonDeSantisFL,,FL,Governor of Florida,Governor,Regular,8/28/18,Advanced,None,On the Ballot,56.5,Yes,,Yes,,,,,,,Yes,,,,No,,108,128,530,3.101827676240209
Don Baldauf,FreeFavorsBold,,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,None,None,0.8,No,,No,,,,No,,,No,,,,No,,1,2,6,3.111111111111111
Bob White,BobWhiteForGov,,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,None,None,2,No,,No,,,,No,,,No,,,,No,,108,84,194,2.4455958549222796
Adam Putnam,adamputnam,,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,None,None,36.6,No,,No,,,,,,,No,,,,Yes,,136,108,492,2.967391304347826
Timothy Devine,,,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,None,None,1.3,No,,No,,,,No,,,No,,,,No,,,,,
Bob Langford,,,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,None,None,1.2,No,,No,,,,No,,,No,,,,No,,,,,
John Joseph Mercadante,gzijcqzw,,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,None,None,0.7,No,,No,,,,No,,,No,,,,No,,41,49,70,2.3625
George Buck,gbuck_jr,,FL,U.S. House Florida District 13,Representative,Regular,8/28/18,Advanced,None,On the Ballot,56,Yes,,,,,,Yes,,,,,,,,,13,16,64,3.096774193548387
Brad Sostack,BradSostack,,FL,U.S. House Florida District 13,Representative,Regular,8/28/18,Lost,None,None,44,No,,,,,,No,,,,,,,,,0,0,0,
