,candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,primary_pctg,won_primary,rep_party_support,trump_endorsed,bannon_endorsed,great_america_endorsed,nra_endorsed,right_to_life_endorsed,susan_b_anthony_endorsed,club_for_growth_endorsed,koch_support,house_freedom_support,tea_party_endorsed,main_street_endorsed,chamber_endorsed,no_labels_support
354,Greg Ryan,GregTRyan4US,,MN,U.S. House Minnesota District 4,Representative,Regular,8/14/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
396,Roger Allison,RogerWAllison,,NC,U.S. House North Carolina District 1,Representative,Regular,5/8/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
400,Steve Von Loor,steveavonloor,,NC,U.S. House North Carolina District 4,Representative,Regular,5/8/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
420,Paul Dilks,PaulDilks,,NJ,U.S. House New Jersey District 1,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
421,Agha Khan,,,NJ,U.S. House New Jersey District 10,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
427,Daryl Kipnis,Kipnis4Congress,,NJ,U.S. House New Jersey District 12,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,No,,,,,,,,
434,Rich Pezzullo,RichPezzulloNJ,,NJ,U.S. House New Jersey District 6,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
435,John Muniz,,,NJ,U.S. House New Jersey District 8,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
436,Eric Fisher,,,NJ,U.S. House New Jersey District 9,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
445,Jerald Steve McFall,jstevemcfall,,NM,U.S. House New Mexico District 3,Representative,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
446,Mick Rich,MickRich4Senate,,NM,U.S. Senate New Mexico,Senator,Regular,6/5/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
472,Marcus Molinaro,marcmolinaro,,NY,Governor of New York,Governor,Regular,9/13/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
473,Naomi Levin,NaomiLevinNY,,NY,U.S. House New York District 10,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
474,Eliot Rabin,EliotRabinForUS,,NY,U.S. House New York District 12,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
475,Jineea Butler,Jineea4congress,,NY,U.S. House New York District 13,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
476,Anthony Pappas,,,NY,U.S. House New York District 14,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
477,Jason Gonzalez,,,NY,U.S. House New York District 15,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
478,James O'Donnell,JamesODonnellNY,,NY,U.S. House New York District 18,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,Yes,,,,,,,,,,,,,
479,Joe Vitollo,JoeVitollo,,NY,U.S. House New York District 20,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
481,Renee Zeno,ReneeMZeno,,NY,U.S. House New York District 26,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
482,Dan DeBono,DanDeBono,,NY,U.S. House New York District 3,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,Yes,,,,,,,,,,,,,
483,Ameer Benno,Benno4Congress,,NY,U.S. House New York District 4,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
484,Lutchi Gayot,LutchiGayot,,NY,U.S. House New York District 9,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
485,Chele Farley,CheleFarley,,NY,U.S. Senate New York,Senator,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
509,Christopher DePizzo,chrisdepizzo,,OH,U.S. House Ohio District 13,Representative,Regular,5/8/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
576,David Torres,DTorres4cong,,PA,U.S. House Pennsylvania District 2,Representative,Regular,5/15/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
577,Bryan Leib,LeibforPA,,PA,U.S. House Pennsylvania District 3,Representative,Regular,5/15/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
596,Salvatore Caiozzo,salforcongress,,RI,U.S. House Rhode Island District 2,Representative,Regular,9/12/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
612,Gerhard Gressmann,gressmannforSC6,,SC,U.S. House South Carolina District 6,Representative,Regular,6/12/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
639,Charlotte Bergmann,ElectBergmann,,TN,U.S. House Tennessee District 9,Representative,Regular,8/2/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
642,Tim Westley,twestley777,,TX,U.S. House Texas District 15,Representative,Regular,3/6/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
645,Ava Pate,avaforcongress,,TX,U.S. House Texas District 18,Representative,Regular,3/6/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
686,Willie Billups,votebillups,,TX,U.S. House Texas District 33,Representative,Regular,3/6/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
687,Rey Gonzalez,reygonzalez34,drreygonzalez,TX,U.S. House Texas District 34,Representative,Regular,3/6/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
717,Jeff Dove,JefferyADoveJr,,VA,U.S. House Virginia District 11,Representative,Regular,6/12/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
722,Thomas Oh,OhForCongress,,VA,U.S. House Virginia District 8,Representative,Regular,6/12/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
728,Joseph Brumbles,JosephBrumbles,,WA,U.S. House Washington District 10,Representative,Regular,8/7/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
729,Douglas Dightman,,,WA,U.S. House Washington District 6,Representative,Regular,8/7/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
730,Craig Keller,,,WA,U.S. House Washington District 7,Representative,Regular,8/7/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,
734,Doug Basler,dougbasler,,WA,U.S. House Washington District 9,Representative,,8/7/18,Lost,None,None,100.0,No,,,,,,,,,,,,,,
767,Steve Toft,toftforcongress,,WI,U.S. House Wisconsin District 3,Representative,Regular,8/14/18,Advanced,None,On the Ballot,100.0,Yes,Yes,,,,,Yes,,,,,,,,
