candidate,twitter_handle,twitter_handle2,state,district,office_type,race_type,race_primary_election_date,primary_status,primary_runoff_status,general_status,primary_pctg,won_primary,rep_party_support,trump_endorsed,bannon_endorsed,great_america_endorsed,nra_endorsed,right_to_life_endorsed,susan_b_anthony_endorsed,club_for_growth_endorsed,koch_support,house_freedom_support,tea_party_endorsed,main_street_endorsed,chamber_endorsed,no_labels_support,count_negative,count_neutral,count_positive,sentiment,has_twitter,num_endorsements
Bob Stump,BobStump,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,5.37,No,,,,,,,No,,No,No,,,,,0.0,0.0,0.0,,False,0
Clair Van Steenwyk,ClairVanSteenwy,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,2.37,No,,,,,,,No,,No,No,,,,,0.0,0.0,0.0,,False,0
Phil Lovas,PhilLovas,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,23.88,No,,,,,,,No,,No,No,,,,,6.0,3.0,75.0,3.6428571428571432,False,0
Richard Mack,SheriffMack,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,1.42,No,,,,,,,No,,No,No,,,,,0.0,0.0,0.0,,False,0
Stephen Dolgos,stephendolgos,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,0.48,No,,,,,,,No,,No,No,,,,,3.0,5.0,17.0,3.12,False,0
Steve Montenegro,SteveMontenegro,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,23.82,No,,,,,,,No,,No,No,,,,,7.0,9.0,43.0,3.2203389830508478,False,0
Christopher Sylvester,,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,1.92,No,,,,,,,No,,No,No,,,,,,,,,True,0
David Lien,,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,1.77,No,,,,,,,No,,No,No,,,,,,,,,True,0
Chad Allen,AllenForArizona,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,1.05,No,,,,,,,No,,No,No,,,,,0.0,0.0,0.0,,False,0
Brenden Dilley,,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,1.03,No,,,,,,,No,,No,No,,,,,,,,,True,0
Mark Yates,dry8s,,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,None,1.12,No,,,,,,,No,,No,No,,,,,19.0,13.0,36.0,2.5,False,0
Dave Giles,VoteGiles,,AZ,U.S. House Arizona District 9,Representative,Regular,8/28/18,Lost,None,None,33.3,No,No,,,,,,,,,,,,,,31.0,30.0,149.0,3.1238095238095243,False,0
Steve Ferrara,steveferraramd,,AZ,U.S. House Arizona District 9,Representative,Regular,8/28/18,Advanced,None,On the Ballot,58.9,Yes,Yes,,,,,,,,,,,,,,27.0,14.0,288.0,3.5866261398176293,False,1
Irina Baroness Von Behr,von_behr,,AZ,U.S. House Arizona District 9,Representative,Regular,8/28/18,Lost,None,None,7.8,No,No,,,,,,,,,,,,,,17.0,17.0,41.0,2.64,False,0
Joe Arpaio,RealSheriffJoe,,AZ,U.S. Senate Arizona,Senator,Regular,8/28/18,Lost,None,None,18.9,No,,,No,No,,,,,No,,,,,,70.0,108.0,231.0,2.7872860635696823,False,0
Kelli Ward,kelliwardaz,,AZ,U.S. Senate Arizona,Senator,Regular,8/28/18,Lost,None,None,28.1,No,,,Yes,Yes,,,,,No,,,,,,136.0,171.0,487.0,2.884130982367758,False,2
Martha McSally,MarthaMcSally,,AZ,U.S. Senate Arizona,Senator,Regular,8/28/18,Advanced,None,On the Ballot,53.0,Yes,,,No,No,,,,,Yes,,,,,,97.0,94.0,380.0,2.9912434325744313,False,1
John Cox,TheRealJohnHCox,,CA,Governor of California,Governor,Regular,6/5/18,Advanced,None,On the Ballot,70.15,Yes,,Yes,,,,Yes,,,,,,,,,200.0,148.0,414.0,2.5616797900262473,False,2
Peter Yuan Liu,PeterLiuCAGov18,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,1.08,No,,No,,,,No,,,,,,,,,18.0,11.0,24.0,2.2264150943396226,False,0
Robert Newman,michaelp594,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,1.77,No,,No,,,,No,,,,,,,,,0.0,0.0,0.0,,False,0
Travis Allen,JoinTravisAllen,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,26.15,No,,No,,,,No,,,,,,,,,97.0,64.0,84.0,1.893877551020408,False,0
Yvonne Girard,,,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,None,0.85,No,,No,,,,No,,,,,,,,,,,,,True,0
Justin Fareed,JustinFareed,,CA,U.S. House California District 24,Representative,Regular,6/5/18,Advanced,None,On the Ballot,78.37,Yes,Yes,,,,Yes,,,,,,,,,,209.0,174.0,339.0,2.3601108033241003,False,2
Michael Erin Woody,MichaelWoodyCA,,CA,U.S. House California District 24,Representative,Regular,6/5/18,Lost,None,None,21.63,No,No,,,,No,,,,,,,,,,24.0,5.0,45.0,2.5675675675675675,False,0
Antonio Sabato Jr.,AntonioSabatoJr,,CA,U.S. House California District 26,Representative,Regular,6/5/18,Advanced,None,On the Ballot,53.04,Yes,,,,,,,,,,,,,,,265.0,267.0,1169.0,3.0629041740152854,False,0
Jeffrey Burum,JeffreyBurum,,CA,U.S. House California District 26,Representative,Regular,6/5/18,Lost,None,None,46.96,No,,,,,,,,,,,Yes,,,,227.0,490.0,478.0,2.420083682008368,False,1
Kimberlin Brown Pelzer,KimberlinBrown,,CA,U.S. House California District 36,Representative,Regular,6/5/18,Advanced,None,On the Ballot,51.61,Yes,Yes,,,,,,Yes,,,,,,,,46.0,23.0,274.0,3.3294460641399417,False,2
Stephan Wolkowicz,,,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,None,None,10.41,No,No,,,,,,No,,,,,,,,,,,,True,0
Dan Ball,DanNewsManBall,,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,None,None,17.39,No,No,,,,,,No,,,,,,,,32.0,34.0,175.0,3.1867219917012446,False,0
Doug Hassett,1doughassett,,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,None,None,11.21,No,No,,,,,,No,,,,,,,,49.0,37.0,192.0,3.028776978417266,False,0
Robert Bentley,,,CA,U.S. House California District 36,Representative,Regular,6/5/18,Lost,None,None,9.38,No,No,,,,,,No,,,,,,,,,,,,True,0
Young Kim,YoungKimCD39,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Advanced,None,On the Ballot,39.79,Yes,Yes,,,,,,Yes,,,,Yes,Yes,,,15.0,14.0,163.0,3.5416666666666665,False,4
Bob Huff,bobhuff99,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,11.53,No,No,,,,,,No,,,,No,No,,,10.0,3.0,19.0,2.5625,False,0
John Cullum,Cullum4Congress,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,2.24,No,No,,,,,,No,,,,No,No,,,0.0,0.0,4.0,4.0,False,0
Phil Liberatore,Phil_Liberatore,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,21.22,No,No,,,,,,No,,,,No,No,,,26.0,11.0,70.0,2.822429906542056,False,0
Shawn Nelson,NelsonforOC,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,12.45,No,Yes,,,,,,No,,,,No,No,,,4.0,11.0,60.0,3.493333333333333,False,1
Andrew Sarega,AndrewSarega,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,1.05,No,No,,,,,,No,,,,No,No,,,52.0,16.0,29.0,1.5257731958762886,False,0
Steve Vargas,VoteVargas,,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,None,5.29,No,No,,,,,,No,,,,No,No,,,1.0,2.0,11.0,3.4285714285714284,False,0
Omar Navarro,RealOmarNavarro,,CA,U.S. House California District 43,Representative,Regular,6/5/18,Advanced,None,On the Ballot,56.02,Yes,,,,,,,,,,,,,,,295.0,313.0,595.0,2.4987531172069826,False,0
Frank DeMartini,frankdemartini,,CA,U.S. House California District 43,Representative,Regular,6/5/18,Lost,None,None,27.54,No,,,,,,,,,,,,,,,202.0,199.0,478.0,2.627986348122867,False,0
Edwin Duterte,DuterteCA,,CA,U.S. House California District 43,Representative,Regular,6/5/18,Lost,None,None,16.44,No,,,,,,,,,,,,,,,323.0,269.0,581.0,2.4398976982097187,False,0
Jazmina Saavedra,jazminasaavedra,,CA,U.S. House California District 44,Representative,Regular,6/5/18,Lost,None,None,58.53,No,,,,,,,,,,,,,,,144.0,142.0,431.0,2.800557880055788,False,0
Stacey Dash,staceydash,,CA,U.S. House California District 44,Representative,Regular,6/5/18,Lost,None,None,41.47,No,,,,,,,,,,,,,,,569.0,597.0,1122.0,2.4833916083916083,False,0
John Briscoe,johnfbriscoe,,CA,U.S. House California District 47,Representative,Regular,6/5/18,Advanced,None,On the Ballot,54.48,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,False,0
David Clifford,,,CA,U.S. House California District 47,Representative,Regular,6/5/18,Lost,None,None,45.52,No,,,,,,,,,,,,,,,,,,,True,0
Diane Harkey,diane_harkey,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Advanced,None,On the Ballot,52.93,Yes,Yes,,,,,,,,,,Yes,,,,16.0,12.0,36.0,2.625,False,2
Kristin Gaspar,KristinDGaspar,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,18.34,No,Yes,,,,,,,,,,No,,,,26.0,14.0,142.0,3.274725274725274,False,1
Rocky ChÃÃvez,RockyChavez4CA,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,15.66,No,Yes,,,,,,,,,,No,,,,0.0,0.0,0.0,,False,1
Joshua Schoonover,JSSchoonover,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,1.55,No,No,,,,,,,,,,No,,,,0.0,0.0,0.0,,False,0
Brian Maryott,brianlmaryott,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,6.26,No,No,,,,,,,,,,No,,,,20.0,15.0,30.0,2.3076923076923075,False,0
Craig Nordal,nordal4congress,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,1.31,No,No,,,,,,,,,,No,,,,5.0,2.0,28.0,3.3142857142857145,False,0
David Medway,drdavidmedway,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,1.22,No,No,,,,,,,,,,No,,,,5.0,4.0,17.0,2.9230769230769234,False,0
Mike Schmitt,DrMikeSchmitt,,CA,U.S. House California District 49,Representative,Regular,6/5/18,Lost,None,None,2.72,No,No,,,,,,,,,,No,,,,33.0,34.0,61.0,2.4375,False,0
Juan Hidalgo,HidalgoFor51st,,CA,U.S. House California District 51,Representative,Regular,6/5/18,Advanced,None,On the Ballot,49.39,Yes,,,,,,,,,,,,,,,0.0,0.0,0.0,,False,0
Louis Fuentes,,,CA,U.S. House California District 51,Representative,Regular,6/5/18,Lost,None,None,53.9,No,,,,,,,,,,,,,,,,,,,True,0
John Renison Jr.,,,CA,U.S. House California District 51,Representative,Regular,6/5/18,Lost,None,None,45.22,No,,,,,,,,,,,,,,,,,,,True,0
Omar Qudrat,omarqudrat1,,CA,U.S. House California District 52,Representative,Regular,6/5/18,Advanced,None,On the Ballot,37.28,Yes,No,,,,,,,,,,,,,,67.0,33.0,72.0,2.058139534883721,False,0
James Veltmeyer,veltmeyer53rd,,CA,U.S. House California District 52,Representative,Regular,6/5/18,Lost,None,None,27.81,No,No,,,,,,,,,,,,,,0.0,0.0,0.0,,False,0
John Horst,,,CA,U.S. House California District 52,Representative,Regular,6/5/18,Lost,None,None,8.25,No,No,,,,,,,,,,,,,,,,,,True,0
Danny Casara,,,CA,U.S. House California District 52,Representative,Regular,6/5/18,Lost,None,None,11.2,No,No,,,,,,,,,,,,,,,,,,True,0
Michael Allman,realMikeAllman,,CA,U.S. House California District 52,Representative,Regular,6/5/18,Lost,None,None,9.57,No,Yes,,,,,,,,,,,,,,49.0,68.0,445.0,3.4092526690391463,False,1
Jeff Cullen,,,CA,U.S. House California District 52,Representative,Regular,6/5/18,Lost,None,None,5.88,No,No,,,,,,,,,,,,,,,,,,True,0
Morgan Murtaugh,morganmurtaugh,,CA,U.S. House California District 53,Representative,Regular,6/5/18,Advanced,None,On the Ballot,42.73,Yes,,,,,,,,,,,,,,,99.0,96.0,392.0,2.9982964224872237,False,0
Matt Mendoza,,,CA,U.S. House California District 53,Representative,Regular,6/5/18,Lost,None,None,40.43,No,,,,,,,,,,,,,,,,,,,True,0
Brett Goda,,,CA,U.S. House California District 53,Representative,Regular,6/5/18,Lost,None,None,5.93,No,,,,,,,,,,,,,,,,,,,True,0
Shawn Gino Kane,,,CA,U.S. House California District 53,Representative,Regular,6/5/18,Lost,None,None,10.91,No,,,,,,,,,,,,,,,,,,,True,0
Andrew Grant,AndrewFGrant,,CA,U.S. House California District 7,Representative,Regular,6/5/18,Advanced,None,On the Ballot,69.15,Yes,Yes,,,,,,,,,,,,Yes,,141.0,88.0,291.0,2.5769230769230766,False,2
Yona Barash,DrYonaBarash,,CA,U.S. House California District 7,Representative,Regular,6/5/18,Lost,None,None,30.85,No,No,,,,,,,,,,,,No,,26.0,15.0,42.0,2.3855421686746987,False,0
Jerry Laws,,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,3.04,No,,,,,,No,,,,,,,,,,,,,True,0
Kevin Mottus,Kevin_Mottus,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,3.94,No,,,,,,No,,,,,,,,,63.0,36.0,50.0,1.8255033557046982,False,0
Roque De La Fuente,JoinRocky,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,6.11,No,,,,,,No,,,,,,,,,0.0,0.0,0.0,,False,0
Tom Palzer,tom_palzer,TomPazer,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,9.26,No,,,,,,No,,,,,,,,,0.0,0.0,0.0,,False,0
Patrick Little,,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,4.06,No,,,,,,No,,,,,,,,,,,,,True,0
Erin Cruz,RealErinCruz,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,12.06,No,,,,,,No,,,,,,,,,2131.0,1908.0,5213.0,2.666234327712927,False,0
Mario Nabliba,ForSenate1,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,1.77,No,,,,,,No,,,,,,,,,1.0,3.0,9.0,3.2307692307692313,False,0
Paul Taylor,,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,14.59,No,,,,,,Yes,,,,,,,,,,,,,True,1
Arun Bhumitra,IAmArunBhumitra,ArunKBhumitra,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,15.82,No,,,,,,No,,,,,,,,,0.0,1.0,0.0,2.0,False,0
James Bradley,JamesBradleyMBA,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,25.08,No,,,,,,No,,,,,,,,,249.0,228.0,452.0,2.43702906350915,False,0
John Crew,,,CA,U.S. Senate California,Senator,Regular,6/5/18,Lost,None,None,4.24,No,,,,,,No,,,,,,,,,,,,,True,0
Walker Stapleton,WalkerStapleton,,CO,Governor of Colorado,Governor,Regular,6/26/18,Advanced,None,On the Ballot,47.67,Yes,,,,,,,,,,,,,,,38.0,44.0,189.0,3.114391143911439,False,0
Greg Lopez,Lopez4Governor,,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,13.2,No,,,,,,,,,,,,,,,11.0,32.0,212.0,3.5764705882352943,False,0
Victor Mitchell,_VictorMitchell,,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,30.12,No,,,,,,,,,,,,,,,58.0,57.0,102.0,2.4055299539170507,False,0
Doug Robinson,DougRobinsonCO,,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,None,9.01,No,,,,,,,,,,,,,,,28.0,18.0,53.0,2.5050505050505047,False,0
Peter Yu,PeterYuCO,,CO,U.S. House Colorado District 2,Representative,Regular,6/26/18,Advanced,None,On the Ballot,100.0,Yes,,,,,,,,,,,,,,,2.0,3.0,41.0,3.695652173913044,False,0
Bob Stefanowski,bobforgovernor,,CT,Governor of Connecticut,Governor,Regular,8/14/18,Advanced,None,On the Ballot,29.3,Yes,,,,,,,,,,,,,,,266.0,241.0,626.0,2.6354810238305384,False,0
Mark Boughton,MayorMark,,CT,Governor of Connecticut,Governor,Regular,8/14/18,Lost,None,None,21.2,No,,,,,,,,,,,,,,,312.0,210.0,637.0,2.5608283002588443,False,0
Steve Obsitnik,SteveObsitnik,,CT,Governor of Connecticut,Governor,Regular,8/14/18,Lost,None,None,13.5,No,,,,,,,,,,,,,,,70.0,51.0,237.0,2.9329608938547485,False,0
Tim Herbst,timherbst,,CT,Governor of Connecticut,Governor,Regular,8/14/18,Lost,None,None,17.6,No,,,,,,,,,,,,,,,75.0,40.0,296.0,3.0754257907542577,False,0
David Stemerman,DavidStemerman,,CT,Governor of Connecticut,Governor,Regular,8/14/18,Lost,None,None,18.4,No,,,,,,,,,,,,,,,127.0,109.0,526.0,3.0472440944881893,False,0
Manny Santos,MannySantos123,,CT,U.S. House Connecticut District 5,Representative,Regular,8/14/18,Advanced,None,On the Ballot,51.7,Yes,,,,,,,,,,,,,,,67.0,45.0,91.0,2.2364532019704435,False,0
Ruby Corby O'Neill,rubycorbyoneill,,CT,U.S. House Connecticut District 5,Representative,Regular,8/14/18,Lost,None,None,26.7,No,,,,,,,,,,,,,,,2.0,3.0,56.0,3.7704918032786887,False,0
Rich DuPont,DuPont4Congress,,CT,U.S. House Connecticut District 5,Representative,Regular,8/14/18,Lost,None,None,21.7,No,,,,,,,,,,,,,,,10.0,5.0,80.0,3.4736842105263164,False,0
Matthew Corey,MattCoreyCT,,CT,U.S. Senate Connecticut,Senator,Regular,8/14/18,Advanced,None,On the Ballot,76.7,Yes,,,,,,,,,,,,,,,32.0,32.0,259.0,3.4055727554179565,False,0
Dominic Rapini,MacDommer,,CT,U.S. Senate Connecticut,Senator,Regular,8/14/18,Lost,None,None,23.3,No,,,,,,,,,,,,,,,163.0,282.0,839.0,3.0529595015576323,False,0
Lee Murphy,goMurph2020,,DE,U.S. House Delaware At-large District,Representative,Regular,9/6/18,Lost,None,None,47.0,No,,,,,,,,,,,,,,,0.0,0.0,0.0,,False,0
Scott Walker,,,DE,U.S. House Delaware At-large District,Representative,Regular,9/6/18,Advanced,None,On the Ballot,53.0,Yes,,,,,,,,,,,,,,,,,,,True,0
Gene Truono,,,DE,U.S. Senate Delaware,Senator,Regular,9/6/18,Lost,None,None,28.0,No,,,,,,,,,,,,,,,,,,,True,0
Robert Arlett,RobArlett,,DE,U.S. Senate Delaware,Senator,Regular,9/6/18,Advanced,None,On the Ballot,66.8,Yes,,,,,,,,,,,,,,,53.0,54.0,146.0,2.7351778656126484,False,0
Roque De La Fuente,JoinRocky,,DE,U.S. Senate Delaware,Senator,Regular,9/6/18,Lost,None,None,5.3,No,,,,,,,,,,,,,,,0.0,0.0,0.0,,False,0
Bruce Nathan,brucenathan2018,,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,None,None,0.9,No,,,,,,No,,,No,,,,No,,32.0,40.0,84.0,2.6666666666666665,False,0
Ron DeSantis,RonDeSantisFL,,FL,Governor of Florida,Governor,Regular,8/28/18,Advanced,None,On the Ballot,56.5,Yes,,Yes,,,,,,,Yes,,,,No,,108.0,128.0,530.0,3.101827676240209,False,2
Don Baldauf,FreeFavorsBold,,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,None,None,0.8,No,,No,,,,No,,,No,,,,No,,1.0,2.0,6.0,3.111111111111111,False,0
Bob White,BobWhiteForGov,,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,None,None,2.0,No,,No,,,,No,,,No,,,,No,,108.0,84.0,194.0,2.44559585492228,False,0
Adam Putnam,adamputnam,,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,None,None,36.6,No,,No,,,,,,,No,,,,Yes,,136.0,108.0,492.0,2.967391304347826,False,1
Timothy Devine,,,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,None,None,1.3,No,,No,,,,No,,,No,,,,No,,,,,,True,0
Bob Langford,,,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,None,None,1.2,No,,No,,,,No,,,No,,,,No,,,,,,True,0
John Joseph Mercadante,gzijcqzw,,FL,Governor of Florida,Governor,Regular,8/28/18,Lost,None,None,0.7,No,,No,,,,No,,,No,,,,No,,41.0,49.0,70.0,2.3625,False,0
George Buck,gbuck_jr,,FL,U.S. House Florida District 13,Representative,Regular,8/28/18,Advanced,None,On the Ballot,56.0,Yes,,,,,,Yes,,,,,,,,,13.0,16.0,64.0,3.0967741935483866,False,1
Brad Sostack,BradSostack,,FL,U.S. House Florida District 13,Representative,Regular,8/28/18,Lost,None,None,44.0,No,,,,,,No,,,,,,,,,0.0,0.0,0.0,,False,0
Neil Combee,NeilCombee,,FL,U.S. House Florida District 15,Representative,Regular,8/28/18,Lost,None,None,34.1,No,,,,,,No,,,,,,,,,44.0,42.0,52.0,2.1159420289855078,False,0
Ross Spano,RossSpano,,FL,U.S. House Florida District 15,Representative,Regular,8/28/18,Advanced,None,On the Ballot,43.7,Yes,,,,,,,,,,,,,,,17.0,10.0,71.0,3.1020408163265305,False,0
Sean Harper,,,FL,U.S. House Florida District 15,Representative,Regular,8/28/18,Lost,None,None,10.0,No,,,,,,No,,,,,,,,,,,,,True,0
Danny Kushmer,DannyKushmer,,FL,U.S. House Florida District 15,Representative,Regular,8/28/18,Lost,None,None,6.7,No,,,,,,,,,,,,,,,133.0,163.0,790.0,3.209944751381216,False,0
Ed Shoemaker,EdShoemakerFl,,FL,U.S. House Florida District 15,Representative,Regular,8/28/18,Lost,None,None,5.5,No,,,,,,No,,,,,,,,,40.0,44.0,108.0,2.708333333333333,False,0
Greg Steube,gregsteube,,FL,U.S. House Florida District 17,Representative,Regular,8/28/18,Advanced,None,On the Ballot,62.4,Yes,,,,,Yes,,,Yes,Yes,Yes,Yes,No,No,,4.0,6.0,21.0,3.0967741935483866,False,5
Julio Gonzalez,TaxReformExpert,,FL,U.S. House Florida District 17,Representative,Regular,8/28/18,Lost,None,None,18.3,No,,,,,No,,,No,No,No,No,Yes,Yes,,621.0,396.0,591.0,1.962686567164179,False,2
Bill Akins,,,FL,U.S. House Florida District 17,Representative,Regular,8/28/18,Lost,None,None,19.3,No,,,,,No,No,,No,No,No,No,No,No,,,,,,True,0
Nicolas Kimaz,NicolasKimazFL,,FL,U.S. House Florida District 22,Representative,Regular,8/28/18,Advanced,None,On the Ballot,41.0,Yes,,,,,,No,,,,,,,,,26.0,13.0,63.0,2.7254901960784315,False,0
Javier Manjarres,JavManjarres,,FL,U.S. House Florida District 22,Representative,Regular,8/28/18,Lost,None,None,33.9,No,,,,,,Yes,,,,,,,,,356.0,381.0,525.0,2.2678288431061806,False,1
Eddison Walters,eddisonwalters,,FL,U.S. House Florida District 22,Representative,Regular,8/28/18,Lost,None,None,25.1,No,,,,,,No,,,,,,,,,13.0,18.0,33.0,2.625,False,0
